TEAM  STATUS,,,,,,,,,,,,,,,
SNo.,Team Name,Team ID,Year,Problem Statement,Category,GitHub Repo,Repo Size (KB),Languages,Total Commits,Active Days,Consistency (%),Contributors,Velocity (commits/day),Longest Streak (days),Activity Score
1,status200,26E3216,third,AI-powered Multi Agent System for RFP (Request for Proposal) Response Automation,Industry-Based,https://github.com/calebjubal/multi-agent-rfp-response-automation,2353,"TypeScript, Python, CSS",279,15,22.7,5,18.6,3,72.2
2,CodeCrafters,26E3073,third,Face Recognition Based Attendance Management System,,https://github.com/raghavjha10/CodeCrafters,589,"PHP, CSS, Hack",61,37,48.1,4,1.65,7,47.6
3,SPRING LOADED,26E3179,third,Distributed Rate Limiter System for High-Traffic APIs,DeepTech & System-Based,https://github.com/SidharthBScCS/Rate-Limiter-System-Java,170311,"Java, JavaScript, CSS",133,27,36,2,4.93,6,47.6
4,thetechies_1,26E3175,third,AI-Driven Smart Hiring and Skill Validation Platform for Entry-Level Tech Talen,,https://github.com/roseeali28/AI-Driven-Smart-Hiring-Skill-Validation-Platform,418,"JavaScript, HTML, Python",117,21,28.8,5,5.57,10,46.8
5,Promptica,26E3244,third,Secure LLM Inference Platform for Prompt Injection and Jailbreak Attack Detection,,https://github.com/Vic-41148/secure-llm-inference-platform,2768,"JavaScript, Shell, Batchfile",116,26,37.7,3,4.46,9,46.1
6,Outkast,26E3212,third,"Design and implement an optimized bus routing system to improve travel efficiency, reduce fuel consu",,https://github.com/NamanKatewa/Minor-Project,66493,"TypeScript, Python, Lua",89,20,29.4,6,4.45,7,43.4
7,Cyber cipher,26E3148,third,SIEM Security information and Event Management,University / Community Based Projects,https://github.com/ishanverma104/Ciber-cipher,254,"Shell, Python, JavaScript",47,20,27.8,3,2.35,14,30.2
8,Deadline Dominators,26E3159,third,LLM-Based Knowledge Retrieval System for Internal Documents,,https://github.com/MohitGoel109/LLM-Based-Knowledge-Retrieval-System,21046,"HTML, JavaScript, Python",75,11,14.5,3,6.82,7,29.3
9,PraxisX,26E3067,third,Edu Nexus : Semantic Knowledge Mapping using GraphRAG,,https://github.com/Sarveshero3/Edu-Nexus,19513,"Python, Jupyter Notebook, Batchfile",34,14,18.9,5,2.43,4,27.5
10,BitWise,26E3204,third,Personalized Outfit Planning & Style Recommendation System,,https://github.com/projectvestra/vestra,1168,"JavaScript, TypeScript",49,18,24,2,2.72,5,27.1
